[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Dispatching client demo passenger databus.passenger.demo.demo_passenger_1
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating database databus.database.json_db.json_database
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating driver databus.driver.primal_driver
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating ticket
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Driving
[2020-04-13T09:15:44.636565][databus.driver.primal_driver][info] Driving...
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:03:05.434098_2a45367c-7bfd-11ea-bfd0-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:33:18.573332_62fc4722-7c01-11ea-9808-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:01:27.106524_efa996f2-7bfc-11ea-9e2d-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:53:45.416912_3e3dc138-7c04-11ea-b485-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:34:36.648803_f34a0e6a-7c09-11ea-a784-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:32:29.971812_46044656-7c01-11ea-887d-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:09:33.858707_738e7be6-7c06-11ea-9eb1-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T10:25:57.064962_af749a82-7bc5-11ea-aee6-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T09:38:26.596762_0c71ac7c-7bbf-11ea-ad2d-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:47:59.564063_d1dd339a-7c0b-11ea-a3bf-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:21:19.785812_b68e01ca-7bff-11ea-9807-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:29:15.703593_33fdb3d6-7c09-11ea-a770-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:03:25.048349_97ba7dae-7c05-11ea-90db-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T16:53:10.772993_c7d31a6e-7bfb-11ea-abbb-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:26:58.708696_809188de-7c00-11ea-9817-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:09:36.453797_751a76cc-7c06-11ea-9eb1-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:47:58.621712_d14d68f0-7c0b-11ea-a3bf-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:27:58.477995_a4319b08-7c00-11ea-9817-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T16:57:40.247642_6871ac24-7bfc-11ea-b994-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:03:43.451197_40ee22e4-7bfd-11ea-ad86-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:34:32.835554_f1043310-7c09-11ea-a784-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:04:41.063274_63450a7e-7bfd-11ea-8509-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:31:18.597924_7d3de480-7c09-11ea-a784-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:54:53.623099_66e530bc-7c04-11ea-a907-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:51:04.396804_40087096-7c0c-11ea-90d8-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:48:22.215967_df5d9b68-7c0b-11ea-9a7c-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T10:21:00.982587_fefa048a-7bc4-11ea-82b6-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:47:38.224863_6360b3ea-7c03-11ea-a25e-a82066455b02.txt
